smiles,Drd2,group
O=C(c1ccc(F)cc1)C1CCN(C2CN(C(=O)c3ccc(F)cc3)CCC2O)CC1,0,training
COc1ccc(-c2cc(=O)c3cc(CCl)ccc3o2)cc1,0,training
CN1CCN(c2cc(-c3ccc(N)cc3)nc(N)n2)CC1,0,training
Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(Nc3cccc4ccn(C)c34)CC2)CC1,0,training
CN1CCc2c(c3cc(F)ccc3n2-c2ccc(F)cc2)C1,1,training
O=C(CNc1n[nH]c2ccc(C(F)(F)F)cc12)NC1CN(C2CCC(c3cccnc3)CC2)C1,1,training
O=C1CNCC2=C1C(c1cccc(Oc3ccccc3)c1)c1c[nH]nc1N2,0,training
CCC(C)C1CNCCN1CCc1cccc(F)c1,0,training
O=C(C1=C(O)C(=O)N(CCCN2CCOCC2)C1c1ccc(F)cc1)c1ccccc1,0,training
CON=C(C)c1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2,1,training
CCON=C(CCN1CCN(c2nccs2)CC1)c1ccccc1,1,training
c1ccc(CC2CCN(CCCSc3nc4ccccc4[nH]3)CC2)cc1,1,training
O=C(CCC(=O)N1CCN(CC2CC2)CC1)c1ccc(Cl)cc1,1,training
CCOc1cc(CN2CCC(Nc3nc4cc(NC(=O)C5CCC5)ccc4o3)CC2)ccc1OC,0,training
CCOc1ccc(C(=O)c2c(C)n(CCN3CCOCC3)c3ccccc23)cc1,0,training
O=C(NCCCN1CCC(Cc2ccccc2)CC1)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,1,training
Cc1c2ccncc2c(C)c2c1[nH]c1ccc(OC(C)C)cc12,0,training
O=C(NCCCN1CCN(c2ccccc2F)CC1)c1nc(-c2cccnc2)no1,1,training
CCCn1ccc(O)c(Cc2ccc(Cl)cc2)c1=O,0,training
O=C(NC1CCN(Cc2ccc(C(F)(F)F)cc2)CC1)c1ccc2ccccc2c1,0,training
CCN(CC)CCN(C)C(=O)c1cc(Cl)c(N)cc1OC,1,training
Cc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC(C)C)cc1C1CCN(CCO)CC1,0,training
Fc1ccc(Cn2c(NC3CCN(CCc4ccccc4)CC3)nc3cccnc32)cc1,1,training
CCOC(=O)C1=C(CN2c3ccccc3CC2C)NC(=O)NC1c1ccccc1,0,training
CCc1nc2cc(Cl)ccn2c1C(=O)NCc1ccc(-c2ccncc2)cc1,0,training
CN1CCN(CC=Cc2ccc3c(c2)CC2CCC(C3)C2NS(=O)(=O)c2ccc(Cl)s2)CC1,0,training
COc1ccc(-n2ncnn2)cc1CNC1CCCNC1c1ccccc1,0,training
NC(=O)c1ccc2[nH]c(-c3ccc(OCC4CCCN(Cc5ccc(Cl)c(Cl)c5)C4)cc3)nc2c1,1,training
O=c1cc(-c2ccccc2Cl)oc2c(CN3CCNCC3)cc(Cl)cc12,0,training
COc1ccc(N2CCN(CCCOc3ccc4c(=O)ccoc4c3)CC2)cc1,1,training
CC(=O)Nc1cccc(C2CCN(CCCn3nc(-c4ccc(Cl)cc4)c(C)c(C)c3=O)CC2)c1,1,training
C#CCN1CCN(C(=O)NC(C)CCc2ccc(O)cc2)CC1,0,training
CC(O)(c1ccc(C(=O)N(C2CC2)C2CCN(CC3(C(N)=O)CC3)CC2)cc1)C(F)(F)F,0,training
CC1CCCN(COc2ccc3c(c2)C(=O)C(=O)N3Cc2ccc(-c3ccccc3)cc2)C1,0,training
CCN(CC)CCN(C(=O)c1ccc(F)cc1)c1ccccc1N,1,training
CC1CCCN1CCc1ccc2nc(-c3cnc4c(c3)OCO4)ccc2c1,1,training
CCN1CCN(c2cccc3c2CN(C(CCCNS(=O)(=O)c2cccs2)c2ccc(OC)c(OC)c2)C3=O)CC1,0,training
COc1ccc2nccc(C(O)CCC3CCN(C4CC(c5ccc(F)c(C#N)c5)C4)CC3C(=O)O)c2c1,0,training
CN1C2CCC1CC(NC(=O)c1cn(C)c3ccccc13)C2,1,training
COc1ccc2c(c1)CCN(CCCNS(=O)(=O)c1ccccc1)C2,0,training
CN1CCC23Cc4nc5cc(Cl)ccc5cc4CC2(O)C1Cc1ccc(O)cc13,1,training
COc1cccc(N2CCN(C(=O)Nc3ccc(OC)c(N4CCN(C)CC4)c3)CC2)c1,0,training
NC(=O)c1cnc2[nH]ccc2c1NC1CCN(Cc2ccccc2)CC1,1,training
CN1CCN(c2cccc3[nH]c(-c4n[nH]c5cc(-c6ccc(N)c(F)c6)ccc45)nc23)CC1,0,training
CCOc1cc(N)c(Cl)cc1C(=O)NCC1CN(Cc2ccc(Cl)cc2)CCO1,1,training
COc1ccccc1N1CCN(Cc2cn(-c3ccccc3C(C)C)c3ccccc23)CC1,1,training
C1=CC2(CCN(Cc3ccc4[nH]c5ccccc5c4c3)CC2)c2ccccc21,1,training
CCc1nc(-c2ccc(OCCCN3CCCN(C(=O)C(C)NC(=O)c4ccco4)CC3)cc2F)no1,1,training
CCc1cc2c(=O)n(N)c(SCCCN3CCN(c4ncccn4)CC3)nc2s1,1,training
FC(F)(F)c1cccc(N2CCN(Cc3ccoc3)CC2)c1,0,training
