smiles,group
C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\O)c3csc(N)n3)[C@H]2SC1,training
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(C)CS[C@H]12)c1csc(N)n1,training
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=CCS[C@H]12)c1csc(N)n1,training
CCC(Br)(CC)C(=O)NC(N)=O,training
CCCC(CCC)C(=O)OCOC(=O)C(C)(C)C,training
CC(C)(C)C(=O)OC1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,training
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],test
O=NN(CCCl)C(=O)NCCCl,training
O=NN(CCCl)C(=O)NC1CCCCC1,training
CC(NNC(=O)c1ccccc1)c1ccccc1,test
NS(=O)(=O)c1ccc(C(=O)O)cc1,training
CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)C3=CCC=CC3)[C@H]2SC1,valid
CC(=O)Oc1ccc2c3c1O[C@H]1[C@@H](OC(C)=O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314,training
CC(=O)Oc1ccc2c3c1O[C@H]1[C@@H](OC(C)=O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314,training
CC(=O)[C@@]1(O)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,training
CNC(C)C(O)c1ccc(O)cc1,training
CCC(C)C1(CC)C(=O)NC(=O)NC1=O,training
CCC(C)C1(CC)C(=O)NC(=O)NC1=O,training
C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O,valid
CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,training
CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,training
C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O,test
CC(Cc1ccccc1)N(C)C,training
CCCC(CC)C1(CC)C(=O)NC(=O)NC1=O,training
CCCC(CC)C1(CC)C(=O)NC(=S)NC1=O,training
CCC(C)C(C)(COC(N)=O)COC(N)=O,training
CCC(C)C(C)(COC(N)=O)COC(N)=O,training
CCCC(C)(COC(N)=O)COC(N)=O,training
CCCC(C)(COC(N)=O)COC(N)=O,training
CCC(C)(CC)OC(N)=O,training
CCCC(C)(COC(N)=O)COC(N)=O,training
CCCC(C)(COC(N)=O)COC(N)=O,training
CCCC(C)(COC(N)=O)COC(N)=O,training
CCC(C)C(C)(COC(N)=O)COC(N)=O,training
CCC(C)C(C)(COC(N)=O)COC(N)=O,training
CCC(C)C(C)(COC(N)=O)COC(N)=O,training
CC(OC(N)=O)C(C)C(C)OC(N)=O,test
CC(OC(N)=O)C(C)C(C)OC(N)=O,test
CCOC(N)=O,training
CC(CC(C)(C)O)OC(O)C(Cl)(Cl)Cl,training
OC(OCC(COC(O)C(Cl)(Cl)Cl)(COC(O)C(Cl)(Cl)Cl)COC(O)C(Cl)(Cl)Cl)C(Cl)(Cl)Cl,training
OC(OCC(COC(O)C(Cl)(Cl)Cl)(COC(O)C(Cl)(Cl)Cl)COC(O)C(Cl)(Cl)Cl)C(Cl)(Cl)Cl,training
OC(OCC(COC(O)C(Cl)(Cl)Cl)(COC(O)C(Cl)(Cl)Cl)COC(O)C(Cl)(Cl)Cl)C(Cl)(Cl)Cl,training
OC(OCC(COC(O)C(Cl)(Cl)Cl)(COC(O)C(Cl)(Cl)Cl)COC(O)C(Cl)(Cl)Cl)C(Cl)(Cl)Cl,training
OC(OCC(COC(O)C(Cl)(Cl)Cl)(COC(O)C(Cl)(Cl)Cl)COC(O)C(Cl)(Cl)Cl)C(Cl)(Cl)Cl,training
OC(OCC(COC(O)C(Cl)(Cl)Cl)(COC(O)C(Cl)(Cl)Cl)COC(O)C(Cl)(Cl)Cl)C(Cl)(Cl)Cl,training
OC(c1ccccc1)(c1ccccc1)C1CCNCC1,valid
OC(c1ccccc1)(c1ccccc1)C1CCCCN1,training
Cc1cccc(/C=N/N2CCN(C(c3ccccc3)c3ccccc3)CC2)n1,test
Cc1cccc(/C=N/N2CCN(C(c3ccccc3)c3ccccc3)CC2)n1,test
Cc1cccc(/C=N/N2CCN(C(c3ccccc3)c3ccccc3)CC2)n1,test
Cc1cccc(/C=N/N2CCN(C(c3ccccc3)c3ccccc3)CC2)n1,test
CCC1(CC)C(=O)NC(=O)N(C)C1=O,training
CCC1(c2ccccc2)C(=O)NC(=O)N(C)C1=O,training
CCC1(c2ccccc2)CCC(=O)NC1=O,training
CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,training
CCC(=O)C1(c2cccc(O)c2)CCN(C)CC1,training
CC1C2Cc3ccc(O)cc3C1(C)CCN2CC1CC1,training
O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,training
CC1[C@H]2C(=O)c3ccc(O)cc3[C@]1(C)CCN2CC1CC1,test
C=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,test
Oc1ccc2c(c1)C13CCN(CC4CC4)C(C2)C1CCOC3,training
O=C1CC[C@H]2[C@H]3Cc4cccc(O)c4[C@@]2(CCN3CC2CC2)C1,valid
Oc1ccc2c(c1)[C@@]13CCCC[C@@]1(O)[C@@H](C2)N(CC1CC1)CC3,training
Oc1ccc2c(c1)[C@@]13CCCC[C@@]1(O)[C@@H](C2)N(CC1CCC1)CC3,training
Oc1ccc2c3c1OC1C(O)CCC4(O)C(C2)N(CC2CCC2)CCC314,training
C=C1C[C@H](C)[C@H]2[C@H]3Cc4ccc(O)cc4[C@@]2(CCN3CC2CCC2)C1,training
S=C(NC1CCCCC1)N1CCC(c2cnc[nH]2)CC1,valid
S=C(NC1CCCCC1)N1CCC(c2c[nH]cn2)CC1,training
OC(c1ccccc1)(c1ccccc1)C1CCCCN1,training
CN1CCCCC1CCN1c2ccccc2Sc2ccc(S(C)(=O)=O)cc21,training
CN1CCCCC1CCN1c2ccccc2Sc2ccc(S(C)=O)cc21,valid
O=c1ccn(C2OC(CO)C(O)C2O)c(=O)[nH]1,test
Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,training
